项目名,发布人,发布时间,项目状态,详情,抓取时间
设计/平面设计,儿童摄影公司,2017-09-08 17:28:42,已完成,"现在急需名片，希望3天内设计完成，并负责挑选材质和印刷工艺，设计师最好有经常合作的印刷厂或质量较好的打印店。
要求有质感，有特色。预算1000，对于一个名片设计来说应该不少了，希望是有经验的专业设计师。",2018-08-27 21:40:30.079986
设计/UI设计,北京卓然互联科技有限公司,2017-08-21 11:10:10,已完成,"1. 答案与解析页面设计，已有产品原型设计和文档
2. 显示or隐藏密码显示的眼睛图标各一个
3. 页面需要pad端4个尺寸、手机端2个尺寸的切图和标注
4. 两天完成初稿，本周四完成终稿和全部页面切图标注",2018-08-27 21:40:30.109811
设计/UI设计,浙江倍滋氏信息技术有限公司,2017-08-21 16:04:38,已完成,"根据所提供的原型图进行UI设计，包括IOS和Android界面实现具体功能包括：
点滴（工具）：选择习惯，完成方式，点滴主页，内容页，团队打卡创建，团队互动界面等；
个人主页

时间周期：在8月29日内完成所有UI设计",2018-08-27 21:40:30.117064
设计/UI设计,北京奇点天空科技有限公司,2017-08-21 17:44:01,已完成,"1. demo 版本，功能非常简单。
2. 主要是展示，操作功能非常少。
3. 可参考一些自动驾驶的系统展示。",2018-08-27 21:40:30.157481
市场/运营/稿件写作/发布,圣瓦伦（北京）设计科技有限公司,2017-08-21 20:07:14,已完成,"微信公众号内容编辑6-8篇，提高文章阅读量以及链接点击量、关注度。

人员要求：
1、有创意，文案功底深厚；
2、有大V账号运营经验、大范围传播先例的优先考虑；
3、在服装、设计、时尚等相关方向有内容编辑的经验优先。

三、报酬
按篇计算（每篇500-800元）
详情请参考公司网站：http://www.santvalen.com",2018-08-27 21:40:30.160906
设计/UI设计,旗开得胜开发团队,2017-08-24 08:43:26,已完成,主界面，后台界面，招聘系统界面，提醒界面，权限控制界面,2018-08-27 21:40:30.181118
设计/UI设计,北京卓然互联科技有限公司,2017-08-25 14:06:00,已完成,"1. app中需增加两个页面：批改作业和搜索学生
2. 需要和app原有界面视觉设计风格统一
3. 支持六种屏幕尺寸的标注和切图
4. 初稿完成后，根据甲方需求进行设计上的调整和完善",2018-08-27 21:40:30.191492
开发/APP开发,北京奇点天空科技有限公司,2017-08-27 23:54:54,已完成,"车辆自动驾驶系统，因为是第一个版本功能较简单。有一些简单的App设置页，一个主控制页面。主要功能是绘制出车辆行驶路径（不需要完整的道路绘制，只需要绘制一条直线道路+车辆行驶路径）和车辆障碍提醒。

1. 需要北京的工程师；
2. 根据客户的需要有 5天左右的驻场开发，其他时间远程协作；
3. 最好是全职自由职业，这样时间比较中可控。不过如果你有足够的自信能够胜任，兼职也可以接受。",2018-08-27 21:40:30.210540
设计/UI设计,杭州见日科技有限公司,2017-08-24 19:00:27,已完成,"新健身APP，内容主要为健身教育类视频，面对欧美市场用户
一、 设计健身APP UI和视觉设计、logo、单页网站

二、 已经有产品原型图，主要需要视觉设计

三、 Asana Rebel (iphone), Headspace, Keep

四、 有APP设计经验，有平面设计经验，有欧美品牌或者欧美风格产品设计经验。上海或江浙地区人员公司优先",2018-08-27 21:40:30.234673
开发/前端开发,拉勾网,2017-08-11 13:06:12,已完成,"一、项目描述：

拉勾网2017年818HR节运营活动，PC页面的研发。

二、主要功能点：

视频背景、信息展示有hover动效、有一个弹窗展示可横拉的长图

三、可参考产品：

设计已基本完成，可参考图片

四、人员要求：

能快速产出即可，现在是11号，需要14号上线，时间很紧。",2018-08-27 21:40:30.250749
设计/UI设计,广州步购网络科技有限公司,2017-08-14 16:50:10,已完成,"一、项目描述：

棋牌游戏设计，包含 UI/UX 设计以及动漫人物原画。
二、主要功能点：

棋牌对战，邀请好友，语音文字表情聊天。
三、可参考产品：

德州扑克
闲来麻将
四、人员要求：

1、有做过棋牌类游戏的优先。
2、良好的沟通能力和契约精神。
3、快速的响应。",2018-08-27 21:40:30.261880
设计/其他设计,吉林市点金科技网络有限公司,2017-08-14 16:18:17,已完成,"设计师工作内容
· 根据文案进行重新布局，风格要求沉稳、简约。
· 文字字号不能太小，段落清晰，阅读感强。
· 视觉色调以蓝色为主。
· ICON表达准确无误。

“参考.pdf”是风格参考。",2018-08-27 21:40:30.265431
产品/产品经理,北京七天之氧科技有限公司,2017-08-15 13:26:50,已完成,"一、项目描述：
微信服务号开发，基于陌生两性社交的线下服务，进行男女比例1:1的联谊活动。
二、主要功能点：
人物列表、按条件筛选、人物评分、点赞匹配、用户间联谊日程商讨、用户间互动任务、活动列表、活动报名、发布组局、支付功能、消息通知与推送、登录注册、个人信息
三、可参考产品：
Someet活动平台： 微信号（SomeetInc）
日本联谊网站：http://www.rush01.com/
四、人员要求：
1、有微信开发经验，熟悉微信接口所能实现的所有功能；
2、熟悉两性社交产品，对陌生人社交领域有一定的探索；
3、进行项目需求分析，输出高质量的需求文档；
4、有良好的沟通能力和契约精神。",2018-08-27 21:40:30.279717
设计/UI设计,北京卓然互联科技有限公司,2017-08-15 14:33:23,已完成,"1. 两个页面的视觉设计，同时支持6个屏幕尺寸的标注和切图。
2. 具体业务逻辑详谈。
3. 分三个阶段提交：页面1的设计、页面2的设计、6个屏幕尺寸完整的标注和切图；周四晚完成两个页面设计，周五、周六修改、调整；周日完成全部标注和切图。",2018-08-27 21:40:30.290040
设计/平面设计,上海游旭网络科技有限公司,2017-08-15 17:45:51,已完成,"我们是一家制作VRAR内容的互联网企业
为客户定制ARVR相关的APP和软体
需要制作公司介绍的ppt
我们会提供部分相关资料
需要乙方来提供思路文字方案和设计ppt",2018-08-27 21:40:30.312160
开发/前端开发,深圳随记文化传播有限公司,2017-08-01 10:06:24,已完成,"1.项目描述
手机壳模型设计移动端开发, 为用户在线设计手机壳图案模型
2. 主要功能点
模板选择, 素材选择, 编辑特殊字体
3.人员要求
1. 有移动端兼容调试经验
2. 熟练使用h5 , css3 ,vue , require, jquery 等, 
3. 良好的沟通能力和契约精神",2018-08-27 21:40:30.323910
开发/H5开发,天津中科智能识别技术产业研究院,2017-08-16 16:08:50,已完成,"教育类web网站前端开发，目前已经有产品原型和后端提供的api文档，需要做UI设计＋前端开发
两套前端：
一套pc风格的，另外一套是app风格的
技术这块：
vue框架",2018-08-27 21:40:30.327861
设计/交互设计,广州舞金电子商务有限公司,2017-08-02 10:55:41,已完成,电线电缆垂直行业的报价工具，做成小程序，已经有第一个版本，现在交互设计需要提升,2018-08-27 21:40:30.347669
设计/UI设计,广东左连右网络科技有限公司,2017-08-02 09:47:52,已完成,"一、项目简述：
项目为B2B导购平台的网页设计

二、主要任务点：
主要设计的页面包括：注册登录、表单页、列表页等，有原型图

三、人员要求：
需要一周有一天时间见面沟通（地点：广东佛山）
1、具有设计感。
2、具有创新意识。
3、极简化设计风格。
4、加分：具有导购平台或商城网站设计经验",2018-08-27 21:40:30.351596
市场/运营/文案写作,广州妙竹纯品生物科技有限公司,2017-08-02 11:03:41,已完成,"一、项目描述：公司是卖女性经期产品的电商，微信公众号投放营销软文广告。
二、主要功能点：创作微信营销软文，通过软文（内容形式可故事、可情感、可知识…任由发挥），以获取读者对产品的信任为目标。
三、可参考产品：
1、微信文章：https://mp.weixin.qq.com/s?src=3&amp;timestamp=1501642358&amp;ver=1&amp;signature=hFQZ65H-NfhjOmLUFYJ*lbNnDQMC5*hL6gfG5FzzGJi7762nWov2lXnJuOBZ0UWb52guytgBwDOko6F-EYFaNxv3RAhWRPSCGdkynhMe4QQrzccVKnMD2alDGGTMKrXGXu4-0WmXb4JzY8TjN7RxJIqZ3fB98iFzRojFqPVOiI4=
2、微信文章https://mp.weixin.qq.com/s?src=3&amp;timestamp=1501642555&amp;ver=1&amp;signature=DK*Dj0o*8FDYi0Y3ufMMeA-fixNPLXGl6DwePoHsG2TBeg28xgwmCQ27WTzrDzlYQ0Piuoq7Xi-x2qoSqEmr38VT9cOjpqDJQuV2wi6lxBmidaghBvOzI6UsoOF29pVqeAaP04I81mS3RhOswe3G2K**FCtJbb7ICvT1WJcZmoo=
四、要求：擅长软文写作、能洞察用户心理。
五、本公司有长期软文创作需求、可长期合作。",2018-08-27 21:40:30.368378
开发/前端开发,酷诚科技,2017-08-03 11:15:21,已完成,"一个迭代需求，涉及三个功能点
1.一个支付成功页面的跳转展现
2.一个筛选框
3.一个前端判定输入的错误内容提示成红色

一两天的小活，比较简单，我们自己的前端搞到半截，家里有事情临时没办法干了，后端，一起其他接口全都调试过了，就差前端三个小模块的样式展现了",2018-08-27 21:40:30.379619
开发/后端开发,诺信,2017-08-03 11:48:16,已完成,"1. 对某个医疗类网站的指定部分数据进行抓取
2. 可以根据配置，对指定的科室（1个或多个）的数据进行数据抓取
3. 支持并行执行 (并行数量可以根据配置指定)
4. 要求使用NodeJS 和 Mongodb
5. 容错性强，有重试和超时机制, 不会卡死；重启动以后可以从之前中断的地方继续执行
6. 要求代码结构清晰，易理解，可配置性强，有足够的注释和日志
7. 因为抓取的逻辑并不复杂",2018-08-27 21:40:30.389872
设计/UI设计,太原大灯泡信息科技,2017-08-04 10:22:14,已完成,"用户微信公众号页面预约洗车。
选门店，选服务，预约，预约完成。
有5个页面需要修改，。流程已定。",2018-08-27 21:40:30.411202
开发/小程序开发,wuwu工作室,2017-05-26 10:23:49,已完成,"一、需求简述：
实现活动电商化的小程序。目前已有原型与UI，需要开发者完成开发
开发语言可以是Java或PHP

二、用户角色：
1、普通用户
普通用户可以按照活动原价报名参加活动
2、VIP会员
普通用户支付年费，可升级为VIP会员。
VIP会员具备特殊福利和参加活动的折扣权利。

三、功能点：
1、发布活动
机构会员或管理员发布活动。
活动信息包括：活动标题、图文内容、价格、地点、时间等
2、活动展示
活动可在小程序前端展示出来。
3、购买和报名活动
用户可报名参加活动，报名需要填写手机号等用户信息",2018-08-27 21:40:30.415942
设计/UI设计,皓联网络科技,2017-08-07 11:24:43,已完成,"一、项目描述：

游戏陪玩、代练产品手机App开发，包括iOS和Android两端，用户主要以95后为主，设计风格需简约

二、主要设计工作：

app logo，基础设计规范，icon图标
整体ui界面输出

三、可参考产品：

鱼泡泡： https://www.yupaopao.cn 
暴鸡电竞：http://www.kaiheikeji.com

四、人员要求：

1、有App产品的ui设计经验；
2、出色的审美视觉把握，；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:30.433560
开发/H5开发,上海锐范电子商务有点公司 项目名：D4ME,2017-05-26 17:08:07,已完成,"项目需求：
完成D4ME webapp 的升级 使得其功能同步D4ME ios 客户端
所有设计稿已完善，需求明确
开发时提供sketch文件、API接口都已ready
需求可自行参考D4ME app以及app.d4me.com",2018-08-27 21:40:30.438074
开发/后端开发,大象智慧,2017-05-28 08:16:11,已完成,"项目需求：
现有的yahoo 腾讯股票Java 封闭的接口，最近出现问题（之前都都能正常取数据）：
1、雅虎的日线，日线前复权，周线月线的数据都不能用了 
2、腾讯的接口没有日线前复权的数据 

人员要求：
有熟悉相yahoo 腾讯股票接口 欢迎熟悉yahoo 腾讯股票接口的开发人员或者股票高手接标",2018-08-27 21:40:30.469096
开发/后端开发,深圳百雅特科技有限公司,2017-06-19 11:04:46,已完成,"项目描述：
本项目是公司内部的实验性项目，计划基于开源的机器学习框架，实现一个分类器。该分类器可根据银行对账单中的交易数据（包含对方户名、交易用途、交易备注等信息）对该比交易对应的会计科目进行预测。


达成目标：
* 实现一个基本可用的Classifier，经过训练后的预测准确率不低于75%
* 可以有效的排除无效的学习数据，提升学习数据使用率


技术要求：
* 基于TensorFlow或其他成熟开源的框架实现classifier
* 选择适合的项目应用场景classification algorithm
* 借助成熟的NLP库或云服务，对原始交易数据进行适当的预处理，从而提升学习数据质量（学习数据由我方提供）


人员要求：
熟悉机器学习，深度神经网络。活跃于开源社区，了解机器学习领域最新动态，有实际项目经验者优先。",2018-08-27 21:40:30.473530
开发/H5开发,深圳爱朗无线科技有限公司,2017-05-27 22:16:55,已完成,"项目需求：
社交电商平台，70-80个页面之间，重复页面30-40个，可以提供UI设计。
希望能匹配到优质的开发团队或个人大牛工程师。",2018-08-27 21:40:30.479764
开发/Web网站开发,个人,2017-06-19 16:04:33,已完成,"需求：
1.博客的频道分为：商业洞察、经管思想、产品设计、效率人生四个分类。我希望将我记录或撰写的文章放在这儿。内容是图文格式的。
2.框架是用wordpress搭建的，但没有找到合适的模板。为了减少开发量，只做一套wordpress的主题套用上去就可以。
3.要能适配到手机端。

参照：
https://blog.teambition.com/blog/
如果有类似这样的源码，我也可以直接购买。

人员要求：
一定是做过wordpress主题的UI或前端。",2018-08-27 21:40:30.496435
开发/后端开发,保密,2017-06-23 20:23:14,已完成,"需要做一个积分系统，根据多个指标来计算。
1.获取业务数据
2.建立积分系统数据库
3.后台配置各指标的数据
4.输出积分等级API",2018-08-27 21:40:30.524966
开发/前端开发,保密,2017-06-27 11:02:31,已完成,"我们的产品是PC网站，有个图片和文字编辑的编辑器，目前已经做了第一版，需要做一些功能修改。
主要涉及的功能有：
1.图片缩放、裁切
2.文字样式编辑
3.数据对齐
4.图层选择和处理
.......大大小小大概有10个功能点左右，有些只是微调

我们已经有参考网站，沟通后可以给你看参考网站。
注：此产品还是有一些难度，希望前端技术好的工程师接单。",2018-08-27 21:40:30.528369
开发/小程序开发,创业公司,2017-06-28 09:38:22,已完成,"留言板小程序，有原型，只需2个页面，界面极简。

一、功能要求：
1、留言列表
2、发布留言（可选择匿名和是否展示）

二、技术要求：
1、用leancloud的数据库，避免开发后台
2、支持后续迭代",2018-08-27 21:40:30.539925
设计/平面设计,上海颢汇信息科技有限公司,2017-06-29 19:01:44,已完成,"项目描述：
“汇眼网”是一家专注于外汇行业，愿景是让交易更简单的产业媒体，现征集logo一枚，希望能一目了然凸显我司所在行业以及”眼睛“这一意象所蕴含的想象空间。要求logo是正方形，可以围绕”汇眼“这两个汉字进行设计，一经采用知识版权归属我司。

网址：
www.huiyan.trade",2018-08-27 21:40:30.554074
开发/H5开发,比睿科技,2017-06-30 11:13:04,已完成,"一 项目描述
实现游戏首发时的H5页面，可进行社交媒体传播

二 主要功能点
(1) H5游戏内容展示
(2) Android游戏安装包下载
(3) iOS的App Store链接打开
(4) 微信公众号分享",2018-08-27 21:40:30.593185
设计/UI设计,北京卓然互联科技有限公司,2017-07-24 16:32:57,已完成,"教育产品的平板App开发，仅Android端
5个app应用程序图标的设计
页面通用图标设计（加载圈等等）",2018-08-27 21:40:30.608912
开发/前端开发,保密,2017-07-25 18:38:44,已完成,"有一个项目，从0到1要开发微信公众号H5的页面，主要功能有：

1.登录注册
2.简易社区
3.投资平台
4.个人中心
5.简单的课程

希望找1个有经验、责任心、做事情快的前端，来帮我们开发。",2018-08-27 21:40:30.622833
开发/Web网站开发,畅象,2017-07-26 16:23:54,已完成,"一个帮助孩子提高阅读水平的互动网站。

1、老师模块，可以创建班级、管理班级、上传图书、管理题库等
2、学生模块，可以完成阅读、答题等。
3、有学生的班级家园。
3、有积分管理。

项目有详细的需求说明。",2018-08-27 21:40:30.626207
开发/微信开发,上海婷平网络科技,2017-07-27 16:24:49,已完成,"给123标志（www.logo123.net）整合微信登录功能。
1. 手机扫描二维码，授权后自动登录网站
2. 手机扫描PC网站上的二维码，PC自动登录
3. 微信付款功能
4. 项目关键点自动推送通知信息

网站功能完善，所有页面均为响应式，并有自己的开发人员。 你只需要完成微信接口实现上面的功能就行。

联系时请直接提供成功的微信开发案例。 上海地区优先， 如有必要可以来公司沟通。",2018-08-27 21:40:30.661155
开发/小程序开发,西安大脚网络科技有限公司,2017-07-03 17:39:11,已完成,"产品功能简述：
小朋友圈是一款类似于朋友圈的应用，用户可以在瀑布流中发布语音、视频、图片、文字等信息，其他用户可以进行打赏、给屁、评论、转发的互动
参考应用：支付宝圈子
除了可以收到好友的状态，还可以收到好友的好友的状态，以及系统推荐的状态

核心功能描述：
1.建立小程序内好友关系及好友关系的管理
2.语音、视频、图片、文字等信息状态发送
3.打赏排行榜
4.个人信息（包括头像、昵称、一句话简介）的修改管理
5.状态推荐系统
6.非好友间互动关系的限制，好友可以相互打赏、给屁、评论、转发，非好友则只可以打赏、给屁
6.打赏、给屁（踩）、转发、评论
7.提现，即用户被打赏的金额会留存在程序平台内
8.后台搭建、标签管理、后台自定义埋点的设计、后期维护",2018-08-27 21:40:30.673335
开发/前端开发,马克西姆广告（上海）有限公司,2017-07-28 18:39:07,已完成,"该项目是制作一个小型沟通活动网站，注册用户可以使用简单的照片库功能上传照片。此自适应网站需要能够支持台式机，平板电脑和移动设备。最初概念不需要超过15页。

所需技能
－ 精通HTML5, CSS3, SASS, JavaScript和CSS 动画
－ 对通过AJAX进行部分页面更新和前端照片裁剪有很好的了解
－ 跨浏览器测试和调试
－ 扎实的前端发展经验
－ 能够反复地与设计师和后端开发人员一同工作
－ 在可能的情况下，尽量遵循前端开发的最佳做法
－ 理解并将基本的SEO原则应用于前端开发

加分条件
能够坐班，与创意团队及后端开发人员一同工作。公司在马当路SOHO复兴广场。",2018-08-27 21:40:30.680746
设计/UI设计,北京卓然互联科技有限公司,2017-07-05 11:44:26,已完成,"主要任务有三项：

1. 精简版系统设置APP的界面设计，包括主界面和锁屏设置两个界面。（该软件只有蓝牙、wifi等七个设置项，每个设置项的具体设置功能使用系统自带的界面，因此只需设计两个页面即可） 
2. 教学软件消息通知的Widget界面设计 
3. 开发所需要的切图",2018-08-27 21:40:30.708245
开发/前端开发,广州森成和信息技术有限公司,2017-07-06 11:21:23,已完成,"我们这个项目是一个单页面应用 和一套后台管理系统
目前需要前端介入的工作主要是
1. 单页面应用的UI优化和指引页面制作
单页面应该目前是html5 + css3 + jquery + js 的方式做的 
2. 管理系统的UI优化 
管理系统是node.js+angularjs 1.x做的",2018-08-27 21:40:30.712969
设计/平面设计,杭州爱道克,2017-07-07 13:26:36,已完成,"项目描述：为新项目设计一个海报，张贴在各下线门店，广告牌，楼宇电梯内，以达到吸引用户关注的作用。
海报大小：A4，A3，转易拉宝。
行业关键字：医疗行业，药店，会员
内容：可以由设计师发挥，需要是使用户注册。",2018-08-27 21:40:30.720363
设计/平面设计,北京三十二相网络科技有限公司,2017-07-06 12:18:27,已完成,"一、项目介绍
蜗牛法语是一家专门从事法语在线教育培训的机构。
二、项目需求
1. 需要设计一只蜗牛漫画形象，代表机构的气质与理念，蜗牛各种不同表情的平面形象。
2. 蜗牛的系列表情包，可以在微信聊天中使用。
3.  带有蜗牛漫画形象的微信号文章前后固定的标语设计。
4.  带有蜗牛漫画形象的课程头图设计。
5.  带有蜗牛漫画形象的课程页面设计模板。",2018-08-27 21:40:30.757757
市场/运营/文案写作,杭州爱道克,2017-07-07 13:38:03,已完成,"项目描述：五芒星会员制折扣药店，主要会会员提供会员折扣的药品，使会员每年节省1000左右药品费用。
业务流程：用户注册加入会员，支付会员费，买药（线上或线下连锁药店），获得折扣返利，返利通过京东商城兑换等价商品。
参考：costco会员制超市
要求：写一篇吸引人的文案，表达出会员优势，产品优势，吸引用户注册。",2018-08-27 21:40:30.770076
设计/UI设计,北京卓然互联科技有限公司,2017-07-07 17:51:56,已完成,"主要任务有三项：

1. 精简版系统设置APP的界面设计，包括主界面和锁屏设置两个界面。（该软件只有蓝牙、wifi等七个设置项，每个设置项的具体设置功能使用系统自带的界面，因此只需设计两个页面即可） 
2. 教学软件消息通知的Widget界面设计 
3. 开发所需要的切图",2018-08-27 21:40:30.774797
开发/APP开发,成都有利科技有限公司,2017-07-09 10:53:58,已完成,"一、项目描述：
 有利可图app是基于一个开源app系统进行修改，思路调整和优化。这次开发，主要是在原来系统的基础上，对功能，架构和页面进行调整，调整完成后打包为apk文件并发布到对应的平台，没有太多的业务逻辑，暂时也不需要跟服务器端打通。。
二、主要功能点：
 完成app架构调整和结构优化，根据需求进行调整，并进行打包和发布
三、可参考产品：
 可参考今日头条和支付宝，完整的页面设计方案我们会提供，附完整设计图。 
四、人员要求：
1、有丰富的前端开发工作经验，从事过相关项目开发；
2、熟悉Android相关技术，有应用相关技术的相关经验；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:30.784496
设计/UI设计,上海婷平网络,2017-07-11 10:58:50,已完成,"需要有一定英文基础的设计师，所以需求就用英文写了：
We are looking for a freelancer to redesign the home page of www.logo123.com. The website is already online and functional, we are looking to give it a facelift. 

All you have to provide is PSD file as we can implement the HTML ourselves. We have all the content and sample style we like, and need a web designer to make everything consistent and polished.

For more details, please visit: https://shimo.im/doc/5it6RPykwgQvRqDj/「Freelance gig - logo123...sign」",2018-08-27 21:40:30.789005
开发/后端开发,无,2017-07-11 12:38:44,已完成,"请把这个页面的38100条数据全部爬出
http://xueshu.baidu.com/s?wd=journaluri%3A%285ed98fe6faacba5e%29%20NATURE%20GENETICS&amp;tn=SE_baiduxueshu_c1gjeupa&amp;ie=utf-8",2018-08-27 21:40:30.799965
开发/微信开发,智云互联,2017-07-13 14:14:49,已完成,"主要功能：
用户从承销商渠道拿到优惠券后，可登陆微信公众号进行激活，加入自己的卡包，可以想向线下门店出示券的条码，门店进行核销。
其他要求：
需要对接我们的erp系统发布优惠券。
优惠券核销线核销微信卡券，再核销erp的卡券状态。
承销商需要专门的后台进行登录，进行操作像平台购买优惠券。

其他要求：
有相关开发经验的团队联系，用php开发，需要设计提供公众号端ui设计。",2018-08-27 21:40:30.865848
市场/运营/广告方案/执行,智能未来科技有限公司,2017-07-14 14:35:36,已完成,"项目描述
这是一个家居智能硬件在众筹平台（京东 淘宝等）PPT展示的设计。我们已有完整的文案、或者说产品阐述，需要一位专家润色一下。
 人员需要
1.希望你有丰富的市场经验，能够以用户为出发点去进行所有创作
2.希望你有优秀的市场案例，且案例均拿到了结果
3.希望你有优秀的语言文字能力
4.希望你有设计能力，能设计出清楚 简洁的PPT模板",2018-08-27 21:40:30.869077
设计/UI设计,深圳市万机创意电子科技有限公司,2017-07-14 10:43:37,已完成,"icon 参考：
1：屏幕尺寸为0.96寸，分辨率为64*128，icon的大小设计要放在此屏幕上显示，
 为了展示美观，所以先预估好大小（备注：图标大小建议不要超过40*40，
 我之前画了一套icon30*30太小，40以上的又点大，推荐36*36左右）
2：icon要求黑白的bmp格式
3：一套icon估计有100副左右，每个icon的大小请结合屏幕实际大小进行绘制。
4：字符：AM、PM、Jan、Feb、Mar、Apr、May、Jun、Jul、Aug、Sep、Oct、
 Nov、Dec，Mon、Tue、Wed、Thu、Fri、Sat、Sun、OFF、ON、0至9，10至31（日期）
（约50来副）
 画面icon：计步2副、kcal 2副、睡眠太阳，睡眠箭头、睡眠月亮，睡眠中的大月亮、
 蓝牙勾，蓝牙叉、蓝牙icon、拍照，正在拍照，找手机，正在找手机，音乐icon，
 音乐前一首，音乐后一首，音乐播放，音乐暂停 ，心率、完成目标的3种状态、
 距离、闹钟、运动时间、完成目标百分比、久坐画面两种icon和一幅箭头icon，
 时间主界面3种小icon：小锁头、设置久坐icon、小闹钟；wechat、QQ、skype、
 WhatsApp、SMS、messenger，电量6种状态6副，充电1副，返回icon（约50副）",2018-08-27 21:40:30.873650
设计/UI设计,深圳健康传奇科技有限公司,2017-06-01 12:25:43,已完成,"项目需求：
APP LOGO 包含运动元素和心率符号
运动符号不要户外跑步场景， 更多涉及健身俱乐部运动，不需要制定人物或卡通",2018-08-27 21:40:30.877574
开发/APP开发,智慧云,2017-07-14 16:07:24,已完成,"客户端：
 LBS定位 可以定位客户位置或输入位置
 附近商家排序 按照距离排序商家
 下单 选择所需餐品下订单
 下单信息显示 可以填写联系人、电话、配送地址（默认记录5个）、备注
 配送时间 与上一栏信息一起，提供配送时间的选择（滚轮式）
 退单、退款 客户选择退单、退款，商家后台同意后，完成退单、退款
 我的收藏 可以选择喜欢的商户进行收藏，并从“我的收藏”中进入商户店铺
 支付功能 支付宝、微信渠道
商户端：
 首次登录验证 手机、验证码验证身份合法性
 商品展示 文本描述、图片展示（100张）
 店铺状态 商家可以选择开店、闭店
 自动接单 即商家设定后，在客户下单后商家后台接到信息并完成自动接单确认
 支付功能 支持提现
 收入明细 提供收入明细（文字、表格）
平台：
 管理员"" 权限分级 分为三级（初、中、高）
 初级 统计商户单量（仅可见自己维护的客户）
 商户财务报表（仅可见自己维护的客户）
 可审批商户活动，确认同意后商户活动方可应用
 中级 可见所有商户的单量、财务报表
 可强制商户闭店
 可调整商户归属（即可将由A负责的商户，调整至由B负责）
 可复核审批商户活动。如有问题可强制停止活动。
 高级 以上所有功能
 可增加和剔除初级、中级权限使用者
 可降级、升级使用者（初升中、中降初）
 分账功能
 由高级权限处理的开闭店、商户活动、客户归属等行为，任何其他级别不可更改

其他：
我们有后端开发人员，需要前端ios和安卓，希望团队在深圳。",2018-08-27 21:40:30.880919
市场/运营/内容运营,糖豆科技,2017-06-01 16:06:48,已完成,"我们现在要做一个狗粮的知乎传播项目，项目主要是以品牌官方号PGC和UGC的角度传播幼犬如何选对粮，并把相关内容整理成一个专题页进行总结传播。
需要找一个有快消市场经验的文案来进行整体文案撰写，对于产品的专业知识我们会进行培训。
稿件预估10个回答，3篇小稿，一篇大稿，需要在6月19日前完成
人员要求：
对于UGC有相关经验，最好自己养狗。",2018-08-27 21:40:30.885861
设计/UI设计,贵州岐阜企业管理咨询有限公司,2017-06-02 16:21:51,已完成,"一、项目描述：

汽车后市场产品的手机App设计，包括iOS和Android两端，主要做汽车维修，保养，洗车等服务",2018-08-27 21:40:30.899733
开发/小程序开发,广州舞金电子商务有限公司,2017-06-07 15:21:04,已完成,"项目需求：
开发一款小程序，我已经做了产品需求和相应的产品图片
目标用户：五金建材市场里面的批发商
主要功能：
1. 查询厂家的产品价格 
已经有一个app，app里面包含查询厂家产品价格的功能，也有相应的后台和接口；
2. 根据查询的价格制作报价表 
第二个功能是小程序的新功能，没有后台。而且用户制作报价表，相当于生成了新的数据，需要开发后台保存下来。",2018-08-27 21:40:30.945716
开发/Web网站开发,上海比伯信息科技有限公司,2017-06-08 13:49:52,已完成,"项目需求：
可提供UI（10多个页面），需要开发者完成简单的公司静态网站代码开发，需要有PC版和手机版
要求使用HTML5技术，后台功能简单或者可以无后台功能，需要有相关经验者。",2018-08-27 21:40:30.950607
设计/平面设计,北京时代广联科技发展有限公司,2017-06-07 10:18:22,已完成,"项目需求：
公司为医疗领域，需要简约，时尚，商务风格，以白底为主
内容需要有：qq 微信 手机号 二维码",2018-08-27 21:40:30.961217
开发/后端开发,诺信,2017-06-08 19:58:26,已完成,"项目需求：
1. 从某学术搜索指定的医院+医生的论文
2. 抓取医生的论文摘要，关键词，引用，合作作者，刊物等信息
3. 抓取医生的汇总H-Index, G-Index信息
4. 指定使用nodeJS+Mongodb
5. 交付代码和指定医生列表(数百量级)的论文数据
6. 代码结构良好，可配置性强",2018-08-27 21:40:30.966281
开发/前端开发,北京卓然互联科技有限公司,2018-06-13 20:37:44,已完成,"1. 根据产品设计图和页面标注，一个H5页面展现球队分组列表
2. 完成后按产品需求做必要的布局调整
3. 只实现静态页面效果(个别页面内滑动控件使用现成的js)
4. 适配主流安卓+iOS屏幕
5. HTML+CSS代码风格良好、结构合理，便于开发工程师实现程序",2018-08-27 21:40:31.711915
设计/平面设计,北京山河传媒,2018-01-17 23:11:21,已完成,"项目概况：
创业产品微信端小程序产品，需要制作产品banner设计图和一些线上推广海报。
项目需求：
根据提供文案独立完成移动端相关宣传海报、banner等的设计。
线上移动端设计经验丰富，能够独立较快速的完成设计工作。
有APP、微信端等实际成型案例者最佳。
公司创始人做设计出身，对视觉效果要求相对较高，如果请提供一些个人真实作品，便于双方了解。",2018-08-27 21:40:31.819888
